"Name","ReachID","OriginalRID"
"Tuluksak",8096,9926
"Tuluksak",8273,9926
"Tuluksak",8380,9926
"Tuluksak",6848,9926
"Tuluksak",6911,9926
"Tuluksak",6960,9926
"Tuluksak",7077,9926
"Tuluksak",7725,9926
"Tuluksak",7875,9926
"Tuluksak",7882,9926
"Tuluksak",7888,9926
"Tuluksak",7917,9926
"Tuluksak",8035,9926
"Tuluksak",8393,9926
"Tuluksak",8621,9926
"Tuluksak",6341,9926
"Tuluksak",6769,9926
"Tuluksak",7043,9926
"Tuluksak",7092,9926
"Tuluksak",7701,9926
"Tuluksak",7762,9926
"Tuluksak",7840,9926
"Tuluksak",7871,9926
"Tuluksak",7876,9926
"Tuluksak",7897,9926
"Tuluksak",8003,9926
"Tuluksak",8040,9926
"Tuluksak",8354,9926
"Tuluksak",8401,9926
"Tuluksak",6207,9926
"Tuluksak",6251,9926
"Tuluksak",6582,9926
"Tuluksak",6695,9926
"Tuluksak",7593,9926
"Tuluksak",7827,9926
"Tuluksak",7951,9926
"Tuluksak",7992,9926
"Tuluksak",8098,9926
"Tuluksak",8419,9926
"Tuluksak",6756,9926
"Tuluksak",7246,9926
"Tuluksak",7573,9926
"Tuluksak",7602,9926
"Tuluksak",8456,9926
"Tuluksak",8635,9926
"Tuluksak",6547,9926
"Tuluksak",6801,9926
"Tuluksak",7345,9926
"Tuluksak",7386,9926
"Tuluksak",7557,9926
"Tuluksak",7658,9926
"Tuluksak",8442,9926
"Tuluksak",8487,9926
"Tuluksak",8643,9926
"Tuluksak",8837,9926
"Tuluksak",6430,9926
"Tuluksak",6945,9926
"Tuluksak",7622,9926
"Tuluksak",7666,9926
"Tuluksak",8267,9926
"Tuluksak",8450,9926
"Tuluksak",8455,9926
"Tuluksak",8571,9926
"Tuluksak",8886,9926
"Tuluksak",8964,9926
"Tuluksak",6247,9926
"Tuluksak",6376,9926
"Tuluksak",6721,9926
"Tuluksak",7029,9926
"Tuluksak",7539,9926
"Tuluksak",7579,9926
"Tuluksak",8028,9926
"Tuluksak",8215,9926
"Tuluksak",8636,9926
"Tuluksak",8722,9926
"Tuluksak",6230,9926
"Tuluksak",6244,9926
"Tuluksak",6427,9926
"Tuluksak",6569,9926
"Tuluksak",7034,9926
"Tuluksak",7035,9926
"Tuluksak",7464,9926
"Tuluksak",7510,9926
"Tuluksak",7716,9926
"Tuluksak",7879,9926
"Tuluksak",8128,9926
"Tuluksak",8282,9926
"Tuluksak",8706,9926
"Tuluksak",8728,9926
"Tuluksak",6116,9926
"Tuluksak",6136,9926
"Tuluksak",6211,9926
"Tuluksak",6291,9926
"Tuluksak",6979,9926
"Tuluksak",7051,9926
"Tuluksak",7316,9926
"Tuluksak",7413,9926
"Tuluksak",7466,9926
"Tuluksak",7487,9926
"Tuluksak",7799,9926
"Tuluksak",8132,9926
"Tuluksak",8236,9926
"Tuluksak",8309,9926
"Tuluksak",8663,9926
"Tuluksak",8705,9926
"Tuluksak",8911,9926
"Tuluksak",8975,9926
"Tuluksak",5993,9926
"Tuluksak",6021,9926
"Tuluksak",6031,9926
"Tuluksak",6152,9926
"Tuluksak",6196,9926
"Tuluksak",6271,9926
"Tuluksak",6901,9926
"Tuluksak",6949,9926
"Tuluksak",7063,9926
"Tuluksak",7072,9926
"Tuluksak",7235,9926
"Tuluksak",7301,9926
"Tuluksak",7418,9926
"Tuluksak",7432,9926
"Tuluksak",7437,9926
"Tuluksak",7562,9926
"Tuluksak",7733,9926
"Tuluksak",7812,9926
"Tuluksak",8701,9926
"Tuluksak",8909,9926
"Tuluksak",8974,9926
"Tuluksak",8980,9926
"Tuluksak",5791,9926
"Tuluksak",5884,9926
"Tuluksak",5919,9926
"Tuluksak",6178,9926
"Tuluksak",7218,9926
"Tuluksak",7372,9926
"Tuluksak",7414,9926
"Tuluksak",7446,9926
"Tuluksak",7662,9926
"Tuluksak",7714,9926
"Tuluksak",7824,9926
"Tuluksak",7926,9926
"Tuluksak",8623,9926
"Tuluksak",8714,9926
"Tuluksak",8976,9926
"Tuluksak",9003,9926
"Tuluksak",5843,9926
"Tuluksak",5896,9926
"Tuluksak",7186,9926
"Tuluksak",7401,9926
"Tuluksak",7868,9926
"Tuluksak",7965,9926
"Tuluksak",8599,9926
"Tuluksak",8610,9926
"Tuluksak",8747,9926
"Tuluksak",8813,9926
"Tuluksak",9010,9926
"Tuluksak",9070,9926
"Tuluksak",5781,9926
"Tuluksak",5805,9926
"Tuluksak",7516,9926
"Tuluksak",7520,9926
"Tuluksak",7845,9926
"Tuluksak",8029,9926
"Tuluksak",8405,9926
"Tuluksak",8549,9926
"Tuluksak",8770,9926
"Tuluksak",8857,9926
"Tuluksak",8922,9926
"Tuluksak",9107,9926
"Tuluksak",9152,9926
"Tuluksak",9286,9926
"Tuluksak",5619,9926
"Tuluksak",5670,9926
"Tuluksak",7366,9926
"Tuluksak",7569,9926
"Tuluksak",8022,9926
"Tuluksak",8121,9926
"Tuluksak",8344,9926
"Tuluksak",8580,9926
"Tuluksak",8875,9926
"Tuluksak",8977,9926
"Tuluksak",9174,9926
"Tuluksak",9383,9926
"Tuluksak",9405,9926
"Tuluksak",9642,9926
"Tuluksak",5516,9926
"Tuluksak",5585,9926
"Tuluksak",7570,9926
"Tuluksak",7620,9926
"Tuluksak",8166,9926
"Tuluksak",8433,9926
"Tuluksak",8855,9926
"Tuluksak",8893,9926
"Tuluksak",9041,9926
"Tuluksak",9064,9926
"Tuluksak",9352,9926
"Tuluksak",9445,9926
"Tuluksak",5269,9926
"Tuluksak",5492,9926
"Tuluksak",8726,9926
"Tuluksak",8840,9926
"Tuluksak",8892,9926
"Tuluksak",8908,9926
"Tuluksak",9082,9926
"Tuluksak",9091,9926
"Tuluksak",9473,9926
"Tuluksak",9535,9926
"Tuluksak",4947,9926
"Tuluksak",5206,9926
"Tuluksak",5424,9926
"Tuluksak",5495,9926
"Tuluksak",9099,9926
"Tuluksak",9335,9926
"Tuluksak",9474,9926
"Tuluksak",9602,9926
"Tuluksak",8868,9926
"Tuluksak",9149,9926
"Tuluksak",9290,9926
"Tuluksak",9407,9926
"Tuluksak",9632,9926
"Tuluksak",9680,9926
"Tuluksak",9142,9926
"Tuluksak",9417,9926
"Tuluksak",9465,9926
"Tuluksak",9606,9926
"Tuluksak",9631,9926
"Tuluksak",9659,9926
"Tuluksak",9726,9926
"Tuluksak",9950,9926
"Tuluksak",9096,9926
"Tuluksak",9141,9926
"Tuluksak",9600,9926
"Tuluksak",9770,9926
"Tuluksak",9791,9926
"Tuluksak",9884,9926
"Tuluksak",9749,9926
"Tuluksak",9860,9926
"Aniak",11993,11993
"Aniak",12013,11993
"Aniak",12134,11993
"Aniak",12141,11993
"Aniak",12233,11993
"Aniak",11988,11993
"Aniak",12135,11993
"Holokuk",11536,11536
"Oskakawlik",12571,12571
"Oskakawlik",12515,12571
"Oskakawlik",12592,12571
"Oskakawlik",12446,12571
"Oskakawlik",12465,12571
"Oskakawlik",12594,12571
"Oskakawlik",12708,12571
"Oskakawlik",12521,12571
"Oskakawlik",12641,12571
"Oskakawlik",12714,12571
"Oskakawlik",12738,12571
"Oskakawlik",12477,12571
"Oskakawlik",12601,12571
"Oskakawlik",12742,12571
"Oskakawlik",12759,12571
"Oskakawlik",12676,12571
"Oskakawlik",12743,12571
